bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,registration_year,insurance_validity,fuel_type,seats,rto,ownership,engine_displacement,year_of_manufacture,Features,mileage,engine,max_power,torque,dimensions,miscellaneous,wheel_size
Hatchback,"50,000",Manual,1,1st Owner,Maruti,Maruti Baleno,2018,3962,1.2 Delta,₹ 6.90 Lakh,2018,Third Party insurance,Petrol,5,,First Owner,1197 cc,2018.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",21.4 kmpl,"Red, VVT Petrol Engine, 1197, 83.1bhp@6000rpm, 115Nm@4000rpm, 4, 4, DOHC, MPFI, No, No",83.1bhp,115Nm,"3995mm, 1745mm, 1510mm, 2520mm, 1515mm, 1525mm, 870kg, 1340kg","5 Speed, FWD, 5, Power, 4.9 meters, Disc, Drum, 180 Kmph, 12.36 seconds, Tubeless,Radial, 5, 339-litres",
Hatchback,"24,887",Automatic,1,1st Owner,Hyundai,Hyundai Grand i10,2019,5606,1.2 Kappa Sportz Option AT,₹ 6.82 Lakh,May 2019,Third Party insurance,Petrol,5,KA51,First Owner,1197 cc,2019.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",18.9 kmpl,"Orange, Kappa VTVT Petrol Engine, 1197, 81.86bhp@6000rpm, 113.75nm@4000rpm, 4, 4, DOHC, MPFI, No, No",81.86bhp,113.75nm,"3765mm, 1660mm, 1520mm, 2425mm, 1479mm, 1493mm, 1200","4 Speed, FWD, 5, Power, 4.8 metres, Disc, Drum, 165 Kmph, 12.9 Seconds, Tubeless, 14, 5, 256",14
Hatchback,"23,000",Automatic,1,1st Owner,Honda,Honda Jazz,2018,6506,VX CVT,₹ 8.25 Lakh,Oct 2018,Comprehensive,Petrol,5,KA03,First Owner,1199 cc,2018.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",18.2 kmpl,"Grey, i-VTEC Petrol Engine, 1199, 88.7bhp@6000rpm, 110Nm@4800rpm, 4, 4, SOHC, PGM - Fi, No, No",88.7bhp,110Nm,"3955 mm, 1694 mm, 1544 mm, 2530 mm, 1066 Kg","5 Speed, FWD, 5, Power, 5.1 meters, Disc, Drum, 172 Kmph, 13.7 Seconds, Tubeless,Radial, 15, 5, 354-litres",15
Hatchback,"48,928",Automatic,1,1st Owner,Tata,Tata Tiago,2018,5653,1.2 Revotron XZA,₹ 5.95 Lakh,Aug 2018,Comprehensive,Petrol,5,KA03,First Owner,1199 cc,2018.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",23.84 kmpl,"Red, Revotron Engine, 1199, 83.83bhp@6000rpm, 114Nm@3500rpm, 3, 4, DOHC, MPFi, 77 X 85.8 mm, 10.8:1, No, No",83.83bhp,114Nm,"3746mm, 1647mm, 1535mm, 2400mm, 1400mm, 1420mm, 1012kg","5 Speed, FWD, 5, Power, 4.9 meters, Disc, Drum, 150 kmph, Tubeless, 14, 5, 242-litres",14
SUV,"1,08,862",Manual,3,3rd Owner,Mahindra,Mahindra XUV500,2014,3822,W6 2WD,₹ 6.90 Lakh,Aug 2014,Comprehensive,Diesel,7,KA01,Third Owner,2179 cc,2014.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",15.1 kmpl,"Silver, mHawk Diesel Engine, 2179, 140bhp@3750rpm, 330Nm@1600-2800rpm, 4, 4, DOHC, Direct Injection , Yes, No",140bhp,330Nm,"4585mm, 1890mm, 1785mm, 2700mm, 1900, 2450kg","6 Speed , FWD, 7, Power, 5.6 metres, Disc & Caliper Type, Disc & Caliper Type, 175 kmph, 12.5 Seconds, Tubeless,Radial , 5",
SUV,"80,000",Manual,1,1st Owner,Jeep,Jeep Compass,2018,5929,2.0 Limited,₹ 13.50 Lakh,2018,Third Party insurance,Diesel,5,OD02,First Owner,1956 cc,2018.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",17.1 kmpl,"Others, 2.0-Litre 4-Cyl Multijet II Engine, 1956, 170bhp@3750rpm, 350Nm@1750-2500rpm, 4, 4, DOHC, CRDI, Yes, No",170bhp,350Nm,"4395mm, 1818mm, 1640mm, 2636mm, 1562 kgs","6 Speed, 4X2, 5, Power, Disc, Discs, Radial, Tubless, 17, 5, 408-litres",17
SUV,"16,000",Automatic,1,1st Owner,Mercedes-Benz,Mercedes-Benz GLA,2022,8437,220d 4M BSVI,₹ 55.95 Lakh,Jun 2022,Comprehensive,Diesel,5,KA01,First Owner,1950 cc,2022.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",,"Blue, 1950, 187.74bhp@3800rpm, 400Nm@1600-2600rpm, 4, 4, Yes",187.74bhp,400Nm,"4436mm, 2020mm, 1611mm, 2729mm, 1617mm, 1596mm, 1675","8G-DCT, AWD, 5, Disc, Disc, 219kmph, 7.3sec, Tubeless,Radial, 19, 5",19
Hatchback,"65,376",Manual,2,2nd Owner,Hyundai,Hyundai i20,2014,1657,Asta 1.4 CRDi,₹ 5.21 Lakh,May 2014,Comprehensive,Diesel,5,KA41,Second Owner,1396 cc,2014.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",21.27 kmpl,"Blue, U2 CRDI Diesel Engine, 1396, 88.76bhp@4000rpm, 219.6Nm@1500-2750rpm, 4, 4, DOHC, CRDI, No, No",88.76bhp,219.6Nm,"3995mm, 1710mm, 1505mm, 2525mm, 1505mm, 1503mm, 1120","6 Speed, FWD, 5, Power, Disc, Disc, Tubeless,Radial, 14, 5",14
SUV,"10,000",Manual,1,1st Owner,Tata,Tata Nexon,2022,9207,XM Plus S BSVI,₹ 10.05 Lakh,2022,Third Party insurance,Petrol,5,KA02,First Owner,1199 cc,2022.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",17.33 kmpl,"Others, 1.2l Turbocharged Revotron Engine, 1199, 118.35bhp@5500rpm, 170Nm@1750-4000rpm, 3, 4, NO",118.35bhp,170Nm,"3993, 1811, 1606, 2498, 1315","6 Speed, 5, Electric, 5.1, Disc, Drum, Tubeless,Radial, 5, 350",
Sedan,"67,000",Manual,2,2nd Owner,Honda,Honda City,2016,1215,i VTEC V,₹ 7.75 Lakh,Sept 2016,Comprehensive,Petrol,5,KA53,Second Owner,1497 cc,2016.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",17.8 kmpl,"Brown, i VTEC Engine, 1497, 117.3bhp@6600rpm, 145Nm@4600rpm, 4, 4, SOHC, PGM-Fi, 73.0 X 89.4 mm, 10.3:1, No, No",117.3bhp,145Nm,"4440mm, 1695mm, 1495mm, 2600mm, 1480mm, 1465mm, 1049kg","5 Speed, FWD, 5, Power, 5.3 metres, Disc, Drum, 195 Kmph, 10 Seconds, Tubeless,Radial, 15, 4, 510-litres",15
Sedan,"1,00,000",Automatic,3,3rd Owner,BMW,BMW 5 Series,2011,5293,520d Sedan,₹ 22 Lakh,2011,Third Party insurance,Diesel,5,,Third Owner,1995 cc,2011.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",18.48 kmpl,"White, In-Line Engine, 1995, 177 @ 4,000 (PS@rpm), 35.7 @ 1,750-3,000 (kgm@rpm), 4, 4, CRDi, 84.0 x 90.0 mm, 16.0:1, No, Yes",177 ,35.7 ,"4841mm, 1846mm, 1468mm, 2888mm, 1558mm, 1581mm, 1600kg, 2160kg","6 Speed, 5, Power, Ventilated discs, Ventilated discs, 226km/hr, 8.3 seconds, Tubeless,Radial, 17, 4, 520 litres",17
Hatchback,"18,083",Manual,1,1st Owner,Maruti,Maruti Swift,2016,10403,VXI,₹ 5.82 Lakh,Mar 2016,Comprehensive,Petrol,5,KA04,First Owner,1197 cc,2016.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",22.38 kmpl,"Silver, K Series Dual jet, 1197, 88.50bhp@6000rpm, 113Nm@4400rpm, 4, 4",88.50bhp,113Nm,"3845mm, 1735, 1530, 2450, 1530, 1530, 875-905, 1335","5-Speed, 5, Electric, 4.8, Disc, Drum, Radial, Tubeless, 5, 268",
SUV,"30,000",Manual,1,1st Owner,Renault,Renault Duster,2020,7703,RXS,₹ 10.90 Lakh,2020,Third Party insurance,Petrol,5,KA01,First Owner,1498 cc,2020.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",16.42 kmpl,"Others, 1.5L Petrol, 1498, 104.55bhp@5600rpm, 142Nm @ 4000RPM, 4, 4, DOHC, Multi Point Fuel Injection, No, No",104.55bhp,142Nm ,"4360, 1822, 1695, 205, 2673, 1560, 1567, 1315","5-Speed, FWD, 5, Power, 5.2m, Disc, Drum, Tubeless Radial Tyres, 5, 475",
Hatchback,"57,634",Manual,2,2nd Owner,Tata,Tata Tiago,2016,2983,1.2 Revotron XZ,₹ 4.57 Lakh,Jun 2016,Comprehensive,Petrol,5,KA05,Second Owner,1199 cc,2016.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",23.84 kmpl,"Silver, Revotron Engine, 1199, 84bhp@6000rpm, 114Nm@3500rpm, 3, 4, DOHC, MPFi, 77 X 85.8 mm, 10.8:1, No, No",84bhp,114Nm,"3746mm, 1647mm, 1535mm, 2400mm, 1400mm, 1420mm, 1012kg","5 Speed, FWD, 5, Power, 4.9 meters, Disc, Drum, 150 kmph, 14.3 Seconds, Tubeless, 14, 5, 242-litres",14
Sedan,"50,000",Automatic,2,2nd Owner,Mercedes-Benz,Mercedes-Benz S-Class,2016,4716,S 500 L,₹ 49 Lakh,2016,Third Party insurance,Petrol,5,,Second Owner,4663 cc,2016.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Cd Player",7.81 kmpl,"Others, V-Type Petrol Engine, 4663, 453.26bhp@5250-5500rpm, 700Nm@1800-3500rpm, 8, 4, DOHC, Direct Injection, 10.5:1, Yes, No",453.26bhp,700Nm,"5246mm, 2130mm, 1494mm, 3165mm, 1624mm, 1637mm, 2200kg, 2730kg","7 Speed, RWD, 5, Power, 6.15 metres , Disc, Disc, 250 kmph, 4.8 Seconds, Tubeless,Radial, 19, 4, 530-litres",19
Sedan,"1,10,000",Manual,1,1st Owner,Honda,Honda City,2015,1279,i VTEC V,₹ 5.50 Lakh,2015,Third Party insurance,Petrol,5,HR26,First Owner,1497 cc,2015.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",17.4 kmpl,"Others, i VTEC Engine, 1497, 117.3bhp@6600rpm, 145Nm@4600rpm, 4, 4, SOHC, PGM-Fi, 73.0 X 89.4 mm, 10.3:1, No, No",117.3bhp,145Nm,"4440mm, 1695mm, 1495mm, 2600mm, 1480mm, 1465mm, 1049kg","5 Speed , FWD, 5, Power, 5.3 metres, Disc, Drum, 195 Kmph, 10 Seconds, Tubeless,Radial, 15, 4, 510-litres",15
Hatchback,"23,447",Automatic,1,1st Owner,Hyundai,Hyundai Santro,2018,6670,Sportz AMT BSIV,₹ 5.70 Lakh,Nov 2018,Comprehensive,Petrol,5,KA04,First Owner,1086 cc,2018.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",20.3 kmpl,"Yellow, 1.1 litre Petrol Engine, 1086, 68bhp@5500rpm, 99Nm@4500 rpm, 4, 3, DOHC, MPFI, No, No",68bhp,99Nm,"3610 mm, 1645 mm, 1560 mm, 2400 mm, 1463 mm, 1481 mm, 1050","5 Speed, FWD, 5, Power, Disc, Drum, Tubeless,Radial, 5, 235",
Hatchback,"30,000",Manual,2,2nd Owner,Hyundai,Hyundai Santro Xing,2009,1712,GLS LPG,₹ 2.20 Lakh,2009,Third Party insurance,LPG,5,,Second Owner,1086 cc,2009.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Power Door Locks, Cd Player",13.45 kmpl,"Others, Bifuel Engine, 1086, 62.1bhp@5500rpm, 96.1Nm@3000rpm, 3, 4, SOHC, MPFI+LPG, No, No",62.1bhp,96.1Nm,"3565mm, 1525mm, 1590mm, 2380mm, 1315mm, 1300mm, 845","5 Speed, FWD, 5, Power, 4.4 meters, Ventilated Disc, Drum, Tubeless,Radial, 13, 5",13
Sedan,"33,000",Automatic,1,1st Owner,Mercedes-Benz,Mercedes-Benz E-Class,2017,7578,Exclusive E 200,₹ 41.45 Lakh,Nov 2017,Comprehensive,Petrol,5,KA05,First Owner,1991 cc,2017.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",15 kmpl,"White, In-Line Petrol Engine, 1991, 194.4bhp@5800-6100, 300Nm@1600-4000rpm, 4, 4, DOHC, Direct Injection, Yes, No",194.4bhp,300Nm,"5063mm, 1860mm, 1494mm, 3079mm, 1595mm, 1597mm, 1585","9 Speed, RWD, 5, Electric, 6 metres, Ventilated Disc, Disc, 236 Kmph, 8 Seconds, Tubeless,Radial, 17, 4, 540-litres",17
SUV,"87,667",Manual,2,2nd Owner,Mahindra,Mahindra XUV500,2014,3822,W6 2WD,₹ 8.61 Lakh,Apr 2014,Third Party,Diesel,7,KA04,Second Owner,2179 cc,2014.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",15.1 kmpl,"Black, mHawk Diesel Engine, 2179, 140bhp@3750rpm, 330Nm@1600-2800rpm, 4, 4, DOHC, Direct Injection , Yes, No",140bhp,330Nm,"4585mm, 1890mm, 1785mm, 2700mm, 1900, 2450kg","6 Speed , FWD, 7, Power, 5.6 metres, Disc & Caliper Type, Disc & Caliper Type, 175 kmph, 12.5 Seconds, Tubeless,Radial , 5",
Sedan,"40,000",Automatic,2,2nd Owner,Audi,Audi A4,2016,12,35 TDI Premium,₹ 17.85 Lakh,2016,Third Party insurance,Diesel,5,KA51,Second Owner,1968 cc,2016.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",17.11 kmpl,"Others, TDI Diesel Engine, 1968, 174.33bhp@4200rpm, 380Nm@1750-2500rpm, 4, 4, DOHC, CRDI, Yes, No",174.33bhp,380Nm,"4701mm, 2040mm, 1427mm, 2808mm, 1564mm, 1551mm, 1595kg, 2055kg","8 Speed, FWD, 5, Power, 5.8 metres, Ventilated Disc, Disc, 222 Kmph, 7.9 Seconds, Tubeless,Radial, 16, 4, 480-litres",16
SUV,"79,012",Manual,2,2nd Owner,Mahindra,Mahindra XUV500,2014,3823,W8 2WD,₹ 8.03 Lakh,Oct 2014,Comprehensive,Diesel,7,KA51,Second Owner,2179 cc,2014.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",15.1 kmpl,"Silver, mHawk Diesel Engine, 2179, 140bhp@3750rpm, 330Nm@1600-2800rpm, 4, 4, DOHC, Direct Injection, Yes, No",140bhp,330Nm,"4585mm, 1890mm, 1785mm, 2700mm, 1940, 2450kg","6 Speed, FWD, 7, Power, 5.6 metres, Disc & Caliper Type, Disc & Caliper Type, 175 kmph, 12.5 Seconds, Tubeless,Radial , 17, 5",17
SUV,"31,344",Manual,1,1st Owner,Jeep,Jeep Compass,2021,8320,Model S Diesel BSVI,₹ 25.65 Lakh,Oct 2021,Comprehensive,Diesel,5,KA05,First Owner,1956 cc,2021.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",17.1 kmpl,"Black, 2.0L Multijet Diesel, 1956, 167.67bhp@3750rpm, 350Nm@1750-2500rpm, 4, 4, Yes",167.67bhp,350Nm,"4405mm, 1818mm, 1640mm, 2636mm, 1650","6 Speed, 4x2, 5, Power, Disc, Disc, Tubeless, Radial, 18, 5",18
Sedan,"50,000",Manual,1,1st Owner,Hyundai,Hyundai Xcent,2018,5785,1.2 VTVT SX,₹ 6.74 Lakh,2018,Third Party insurance,Petrol,5,,First Owner,1197 cc,2018.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",20.14 kmpl,"Others, 1.2L Kappa Dual VTVT Petrol, 1197, 81.86bhp@6000rpm, 113.75nm@4000rpm, 4, 4, DOHC, MPFI, No, No",81.86bhp,113.75nm,"3995mm, 1660mm, 1520mm, 2425mm, 1479mm, 1493mm, 1140","5 Speed, FWD, 5, Power, 4.7 metres, Disc, Drum, 172 Kmph, Tubeless, 14, 4, 407",14
Hatchback,"12,434",Manual,1,1st Owner,Maruti,Maruti Wagon R,2015,4310,VXI BS IV,₹ 3.49 Lakh,May 2015,Comprehensive,Petrol,5,WB38,First Owner,998 cc,2015.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks, Cd Player",20.51 kmpl,"Brown, K10B Petrol Engine, 998, 67.04bhp@6200rpm, 90Nm@3500rpm, 3, 4, DOHC, 69 x 72 mm, No, No",67.04bhp,90Nm,"3599mm, 1495mm, 1700mm, 2400mm, 1295mm, 1290mm, 885kg, 1350kg","5 Speed, FWD, 5, Power, 4.6 metres, Ventilated Disc, Drum, 152 kmph, 18.6 Seconds, Tubeless Tyres, 5, 180-liters",
MUV,"60,000",Manual,2,2nd Owner,Maruti,Maruti Ertiga,2019,6701,ZXI Plus Petrol,₹ 10.50 Lakh,2019,Third Party insurance,Petrol,7,KA53,Second Owner,1462 cc,2019.0,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",19.34 kmpl,"Others, K15 Smart Hybrid, 1462, 103bhp@6000rpm, 138Nm@4400rpm, 4, 4, DOHC, MPFI, 74 X 85 mm, 10.5:1, No, No",103bhp,138Nm,"4395 mm, 1735 mm, 1690 mm, 2740 mm, 1510 mm, 1520 mm, 1170 Kg, 1730 Kg","5 Speed, 2WD, 7, Power, 5.2 metres, Ventilated Disc, Drum, Tubeless, Radial, 5, 209 litres",
